uid,name,type,maker,bpr,pr,thr,ff_to,ff_co,ff_app,ff_idl,fuel_lto
1PW034,JT9D-70A,TF,Pratt & Whitney,4.9,24.5,235800,2.4419,1.9996,0.6804,0.237,900
1PW023,JT9D-7F,TF,Pratt & Whitney,5.1,22.8,213500,2.161,1.779,0.624,0.232,837
1PW024,JT9D-7J,TF,Pratt & Whitney,5.1,23.5,222400,2.315,1.902,0.679,0.238,883
1PW025,JT9D-7Q,TF,Pratt & Whitney,4.9,24.5,235750,2.4419,1.9996,0.6804,0.237,900
1PW026,"JT9D-7R4D, -7R4D1",TF,Pratt & Whitney,5,23.4,213500,2.055,1.678,0.6593,0.2054,810
1PW027,"JT9D-7R4E, -7R4E1",TF,Pratt & Whitney,5,24.2,222400,2.118,1.724,0.6529,0.221,818
1PW028,"JT9D-7R4E4, -E1",TF,Pratt & Whitney,5,24.2,222410,2.218,1.829,0.64,0.2205,832
1PW029,JT9D-7R4G2,TF,Pratt & Whitney,4.8,26.3,243500,2.429,1.88,0.659,0.2239,858
1PW030,JT9D-7R4H1,TF,Pratt & Whitney,4.8,26.7,249100,2.512,1.999,0.7227,0.2454,926
16PW115,PW814GA,TF,Pratt & Whitney Canada Corp.,5.66,33.87,68630,0.667,0.549,0.194,0.07,256.2
16PW116,PW815GA,TF,Pratt & Whitney Canada Corp.,5.6,35,71220,0.699,0.573,0.201,0.071,264
15PW104,PW1127G1-JM,TF,Pratt & Whitney,12.2,32.11,120440,0.800416,0.661263,0.232194,0.089743,316.6
15PW105,PW1127G-JM,TF,Pratt & Whitney,12.2,32.11,120440,0.800416,0.661263,0.232194,0.089743,316.6
15PW106,PW1130G-JM,TF,Pratt & Whitney,11.7,35.52,134000,0.910084,0.748352,0.254698,0.094272,345.2
15PW107,PW1133G1-JM,TF,Pratt & Whitney,11.4,38.85,147280,1.02297,0.838543,0.278342,0.09878,374.6
15PW108,PW1133G-JM,TF,Pratt & Whitney,11.4,38.85,147280,1.02297,0.838543,0.278342,0.09878,374.6
16PW110,PW1525G,TF,Pratt & Whitney,11.05,38.67,108530,0.79,0.65,0.23,0.08,299
16PW111,PW1524G,TF,Pratt & Whitney,11.05,38.67,108530,0.79,0.65,0.23,0.08,299
16PW112,PW1521G,TF,Pratt & Whitney,11.37,35.11,97720,0.69,0.58,0.21,0.07,265.1
16PW113,PW1519G,TF,Pratt & Whitney,11.64,32.28,87960,0.62,0.52,0.19,0.07,249.5
4PW072,PW2037,TF,Pratt & Whitney,5.71,26.7,166350,1.571,1.307,0.458,0.152,586
4PW073,PW2040,TF,Pratt & Whitney,5.54,29.4,182020,1.752,1.445,0.496,0.159,631
7PW077,PW306A,MTF,Pratt & Whitney Canada Inc.,4.5,20,26870,0.3171,0.2641,0.0974,0.0422,137
7PW078,PW306B,MTF,Pratt & Whitnet Canada Inc.,4.5,20,26910,0.3171,0.2641,0.0974,0.0422,137
8PW091,PW307A,MTF,Pratt & Whitney Canada Inc.,4.2,20.21,28490,0.3285,0.2737,0.1023,0.0447,144
15PW109,PW307D,MTF,Pratt & Whitney Canada Inc.,4.2,21.44,29910,0.3545,0.2769,0.1115,0.0462,150
7PW079,PW308A,MTF,Pratt & Whitney Canada Inc,4.1,20.4,30710,0.3604,0.2991,0.1235,0.0445,154
14PW103,PW308C,MTF,Pratt & Whitney Canada Inc.,4.1,21.07,31150,0.37,0.307,0.116,0.049,160
1PW042,PW4056,TF,Pratt & Whitney,4.7,29.3,249100,2.342,1.93,0.658,0.208,836
2PW060,PW4074,TF,Pratt and Whitney,6.8,32.2,333200,2.899,2.368,0.795,0.228,981
3PW063,PW4074D,TF,Pratt & Whitney,6.7,31.76,333200,2.949,2.416,0.81,0.239,1010
2PW061,PW4077,TF,Pratt and Whitney,6.7,33.2,343000,3.019,2.452,0.816,0.232,1008
10PW097,PW4077D,TF,Pratt & Whitney,6.6,33.3,355700,3.172,2.562,0.892,0.31,1169.1
8PW089,PW4084,TF,Pratt and Whitney,6.4,36.2,369600,3.411,2.689,0.875,0.242,1086
10PW098,PW4084D,TF,Pratt & Whitney,6.2,36.3,385900,3.557,2.809,0.954,0.322,1251.3
10PW099,PW4090,TF,Pratt & Whitney,6,38.9,408300,3.926,2.996,0.979,0.338,1322.6
1PW045,PW4152,TF,Pratt & Whitney,4.9,26.9,231270,2.129,1.783,0.613,0.203,789
1PW047,PW4156,TF,Pratt & Whitney,4.7,29.3,249100,2.342,1.93,0.658,0.208,836
1PW048,PW4158,TF,Pratt & Whitney,4.6,30.7,258000,2.481,2.004,0.682,0.211,862
7PW081,PW4164,TF,Pratt & Whitney,5.2,30.1,284680,2.668,2.2,0.766,0.24,961
9PW092,PW4164-1D,TF,Pratt & Whitney,5.06,31.3,286900,2.721,2.239,0.775,0.243,975
5PW075,PW4168,TF,Pratt and Whitney,5.1,31.84,302500,2.884,2.363,0.809,0.25,1017
9PW093,PW4168-1D,TF,Pratt & Whitney,4.92,33.1,305100,2.937,2.398,0.818,0.252,1029
7PW082,PW4168A,TF,Pratt & Whitney,5.1,31.84,302500,2.884,2.363,0.809,0.25,1017
9PW094,PW4168A-1D,TF,Pratt & Whitney,4.92,33.1,305100,2.937,2.398,0.818,0.252,1029
12PW101,PW4060,TF,Pratt & Whitney,4.7,29.7,266900,2.567,2.036,0.696,0.206,865
12PW102,PW4062,TF,Pratt & Whitney,4.6,31,275800,2.725,2.125,0.718,0.21,894
9PW095,PW4170,TF,Pratt & Whitney,4.86,33.8,311400,3.019,2.45,0.833,0.255,1048
1PW051,PW4256,TF,Pratt & Whitney,4.7,29.3,252400,2.449,1.981,0.647,0.188,813
1PW052,PW4460,TF,Pratt & Whitney,4.5,32.4,266900,2.647,2.085,0.703,0.213,887
1PW053,PW4x50,TF,Pratt & Whitney,5,25.39,222400,2.027,1.683,0.579,0.193,747
1PW054,PW4x52,TF,Pratt & Whitney,5,26.32,231300,2.127,1.757,0.6,0.198,774
1PW055,PW4x56,TF,Pratt & Whitney,4.8,28.37,249100,2.351,1.912,0.643,0.208,830
1PW056,PW4x58,TF,Pratt & Whitney,4.8,29.49,258000,2.482,1.993,0.665,0.213,859
5PW074,PW4X58,TF,Pratt and Whitney,4.8,28.41,258000,2.496,1.999,0.663,0.212,859
1PW057,PW4x60,TF,Pratt & Whitney,4.7,30.68,266900,2.623,2.075,0.686,0.218,889
1PW059,PW4x62,TF,Pratt & Whitney,4.6,31.91,275800,2.767,2.166,0.708,0.223,920
7PW083,PW6122A,MTF,Pratt & Whitney,4.8,25.7,98310,1.047,0.86,0.304,0.109,401
7PW084,PW6124A,MTF,Pratt & Whitney,4.8,28,105870,1.169,0.939,0.325,0.114,429
1RR001,M45H-01,TF,Rolls Royce Ltd,3,16.5,32400,0.498,0.416,0.146,0.053,194
1RR003,RB211-22B,TF,Rolls Royce Ltd,4.7,25,182500,1.877,1.546,0.566,0.225,770
1RR005,RB211-524B,TF,Rolls Royce Ltd,4.5,28.4,218500,2.21,1.79,0.63,0.24,855
1RR006,RB211-524C2,TF,Rolls Royce Ltd,4.5,29.1,224800,2.48,2.02,0.74,0.3,1016
1RR008,RB211-524D4,TF,Rolls Royce Ltd,4.3,30.22,231300,2.34,1.91,0.65,0.26,912
1RR010,RB211-524G,MTF,Rolls Royce Ltd,4.25,32.1,253000,2.62,2.08,0.7,0.26,958
4RR036,RB211-524G-T,MTF,Rolls-Royce plc,4.25,32.1,253000,2.62,2.1,0.74,0.26,970
1RR011,RB211-524H,MTF,Rolls Royce Ltd,4.2,34,264400,2.73,2.17,0.71,0.26,977
4RR037,RB211-524H-T,MTF,Rolls-Royce plc,4.2,34,264000,2.81,2.22,0.77,0.26,1001
1RR012,RB211-535C,TF,Rolls Royce Ltd,4.5,21.5,163300,1.8,1.47,0.54,0.2,711
5RR038,RB211-535E4,MTF,Rolls-Royce plc,4.1,26,178400,1.85,1.5,0.52,0.18,681
5RR039,RB211-535E4B,MTF,Rolls-Royce plc,4.1,27.9,191700,2.07,1.64,0.55,0.19,732
4RR035,Spey 555,MTF,Rolls-Royce plc,1,15.9,44000,0.735,0.593,0.221,0.0964,313
8RR043,SPEY Mk511,MTF,Rolls Royce Ltd,0.64,19.9,50700,0.889,0.726,0.279,0.119,386
1RR018,SPEY Mk555,MTF,Rolls Royce Ltd,1,15.9,44000,0.735,0.592,0.221,0.096,312
6RR042,TAY 611-8C,MTF,Rolls-Royce,3.2,15.75,61610,0.741,0.612,0.241,0.105,334
11RR048,TAY611-8C,MTF,Rolls-Royce,3.26,15.88,61600,0.731,0.604,0.215,0.102,321
3RR031,TAY 650,MTF,Rolls Royce plc,3,15.9,67200,0.86,0.71,0.25,0.12,377
3RR033,TAY 651,MTF,Rolls Royce plc,3,16.4,68500,0.87,0.72,0.26,0.12,381
1RR019,TAY Mk611-8,MTF,Rolls Royce Ltd,3,16.1,61600,0.76,0.63,0.23,0.11,342
1RR020,TAY Mk620-15,MTF,Rolls Royce Ltd,3,16.1,61600,0.76,0.63,0.23,0.11,342
1RR021,TAY Mk650-15,MTF,Rolls Royce Ltd,3,16.4,67200,0.874,0.715,0.254,0.119,378
8RR044,Trent 553-61,TF,Rolls-Royce,7.5,35.19,251900,2.11,1.73,0.6,0.23,820
8RR045,Trent 556-61,TF,Rolls-Royce,7.5,36.63,263900,2.24,1.83,0.62,0.23,843
14RR070,Trent 768,MTF,Rolls Royce plc,5.15,34.48,304200,2.907,2.375,0.781,0.259,1027
14RR071,Trent 772,MTF,Rolls Royce plc,5.03,36.3302939575395,320300,3.139,2.53,0.821,0.27,1085
2RR024,Trent 875,TF,Rolls Royce plc,6.08,35.42,351850,3.1,2.57,0.88,0.28,1117
2RR025,Trent 877,TF,Rolls Royce plc,6.02,36.3,361640,3.21,2.66,0.9,0.28,1139
2RR026,Trent 884,TF,Rolls Royce plc,5.87,38.96,390100,3.56,2.89,0.97,0.31,1247
2RR027,Trent 892,TF,Rolls Royce plc,5.7,41.38,411480,3.91,3.1,1,0.3,1281
5RR040,Trent 895,TF,Rolls-Royce plc,5.7,41.52,413050,4.03,3.19,1.05,0.33,1357
8RR046,Trent 970-84,TF,Rolls-Royce,7.5,38.97,334700,2.6,2.2,0.7,0.3,980
9RR047,Trent 972-84,TF,Rolls-Royce,7.5,38.64,345900,2.69,2.23,0.75,0.27,1009
12RR055,Trent 1000-A,TF,Rolls-Royce,9.47,41.04,310900,2.282,1.877,0.625,0.237,863
12RR056,Trent 1000-C,TF,Rolls-Royce,9.32,43.78,334700,2.508,2.048,0.668,0.247,921
12RR057,Trent 1000-D,TF,Rolls-Royce,9.32,43.78,334700,2.508,2.048,0.668,0.247,921
12RR058,Trent 1000-E,TF,Rolls-Royce,9.74,36.19,268000,1.907,1.579,0.549,0.217,758
12RR059,Trent 1000-G,TF,Rolls-Royce,9.39,42.53,323700,2.403,1.968,0.649,0.242,894
12RR060,Trent 1000-H,TF,Rolls-Royce,9.62,38.33,287100,2.07,1.71,0.583,0.226,805
12RR061,Trent 1000-A2,TF,Rolls-Royce,9.32,41.3,310900,2.284,1.882,0.624,0.245,876
12RR062,Trent 1000-C2,TF,Rolls-Royce,9.16,44.1,334700,2.503,2.053,0.666,0.247,922
12RR063,Trent 1000-D2,TF,Rolls-Royce,9.16,44.1,334700,2.503,2.053,0.666,0.247,922
12RR064,Trent 1000-E2,TF,Rolls-Royce,9.62,36.32,268000,1.912,1.582,0.549,0.223,769
12RR065,Trent 1000-G2,TF,Rolls-Royce,9.23,42.81,323700,2.402,1.973,0.647,0.243,895
12RR066,Trent 1000-H2,TF,Rolls-Royce,9.49,38.52,287100,2.075,1.715,0.582,0.233,817
12RR067,Trent 1000-J2,TF,Rolls-Royce,9.04,46.08,350900,2.663,2.173,0.696,0.254,962
12RR068,Trent 1000-K2,TF,Rolls-Royce,9.04,46.08,350900,2.663,2.173,0.696,0.254,962
12RR069,Trent 1000-L2,TF,Rolls-Royce,9.16,44.1,334700,2.503,2.053,0.666,0.247,922
14RR072,Trent XWB-75,TF,Rolls-Royce,9.28,36.77,334000,2.411,1.98,0.715,0.27,955
14RR073,Trent XWB-79,TF,Rolls-Royce,9.15,38.8098269447231,355200,2.601,2.129,0.755,0.28,1008
14RR074,Trent XWB-79B,TF,Rolls-Royce,9.15,38.8098269447231,355200,2.601,2.129,0.755,0.28,1008
14RR075,Trent XWB-84,TF,Rolls-Royce,9.01,41.09,379000,2.819,2.306,0.801,0.291,1069
1TL001,ALF 502L-2,TF,Textron Lycoming,5.1,13.15,33400,0.3999,0.3236,0.1172,0.0477,162
1TL002,ALF 502R-3,TF,Textron Lycoming,5.7,11.4,29800,0.3476,0.288,0.1027,0.0432,145
1TL003,ALF 502R-5,TF,Textron Lycoming,5.6,12,31000,0.3581,0.2955,0.1034,0.0408,143
1TL004,"LF507-1F, -1H",TF,Textron Lycoming,5.1,13,31000,0.3578,0.2961,0.1083,0.0453,151
13ZM002,D-36 ser. 4A,TF,IVCHENKO PROGRESS ZMBK,5,19.9,63770,0.634,0.533,0.211,0.092,265
13ZM003,D-436-148 F1,TF,IVCHENKO PROGRESS ZMBK,4.9,19.8,64430,0.548,0.468,0.218,0.093,260
13ZM004,D-436-148 F2,TF,IVCHENKO PROGRESS ZMBK,4.9,20.73,68720,0.581,0.493,0.225,0.099,274
